2026-01-03 07:21:26,613 p=94759 u=dgoldgar n=ansible ERROR| [ERROR]: Unable to read source file (/Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/group_vars/all/vault.yml): [Errno 2] No such file or directory: '/Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/group_vars/all/vault.yml'
2026-01-05 08:27:09,225 p=64371 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:27:13,613 p=64415 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:27:13,638 p=64415 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:27:15,341 p=64415 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:27:34,919 p=64525 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:27:34,943 p=64525 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:27:36,639 p=64525 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:27:40,069 p=64568 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:27:40,093 p=64568 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:27:40,752 p=64568 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:28:01,358 p=64677 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:28:01,384 p=64677 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:28:04,088 p=64677 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:28:06,501 p=64721 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:28:06,528 p=64721 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:28:07,187 p=64721 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:28:27,846 p=64829 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:28:27,870 p=64829 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:28:28,592 p=64829 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:28:33,016 p=64874 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:28:33,041 p=64874 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:28:33,684 p=64874 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:28:54,330 p=64983 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:28:54,355 p=64983 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:28:55,010 p=64983 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:28:59,512 p=65028 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:28:59,537 p=65028 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:29:01,232 p=65028 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:29:20,776 p=65140 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:29:20,801 p=65140 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:29:22,465 p=65140 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:29:25,923 p=65183 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:29:25,947 p=65183 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:29:26,586 p=65183 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:29:47,244 p=65291 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:29:47,269 p=65291 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:29:47,981 p=65291 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:29:52,383 p=65334 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:29:52,408 p=65334 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:29:53,055 p=65334 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:30:13,652 p=65474 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:30:13,677 p=65474 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:30:16,388 p=65474 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:30:18,795 p=65521 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:30:18,819 p=65521 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:30:20,500 p=65521 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:30:40,131 p=65678 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:30:40,157 p=65678 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:30:40,900 p=65678 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:30:45,282 p=65721 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:30:45,307 p=65721 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:30:46,028 p=65721 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:31:06,574 p=65840 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:31:06,599 p=65840 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:31:08,309 p=65840 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:31:11,729 p=65884 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:31:11,754 p=65884 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:31:13,508 p=65884 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:31:33,069 p=65993 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:31:33,095 p=65993 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:31:33,789 p=65993 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:31:38,220 p=66037 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:31:38,244 p=66037 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:31:38,913 p=66037 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:31:59,540 p=66145 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:31:59,564 p=66145 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:32:00,185 p=66145 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:32:04,725 p=66193 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:32:04,750 p=66193 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:32:05,416 p=66193 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:32:26,000 p=66301 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:32:26,027 p=66301 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:32:27,855 p=66301 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:32:31,148 p=66345 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:32:31,172 p=66345 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:32:31,865 p=66345 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:32:52,469 p=66454 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:32:52,494 p=66454 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:32:53,164 p=66454 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:32:57,617 p=66500 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:32:57,641 p=66500 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:32:58,294 p=66500 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:33:19,200 p=66622 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:33:19,222 p=66622 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:33:19,907 p=66622 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:33:19,910 p=66622 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-05 08:33:19,919 p=66622 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-05 08:33:19,922 p=66622 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-05 08:33:20,267 p=66622 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-05 08:33:20,270 p=66622 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-05 08:33:20,274 p=66622 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-05 08:33:20,825 p=66622 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:33:20,828 p=66622 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-05 08:33:21,298 p=66622 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:33:21,301 p=66622 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-05 08:33:21,301 p=66622 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:33:21,302 p=66622 u=dgoldgar n=ansible INFO| PLAY [Homeassistant] ***********************************************************
2026-01-05 08:33:21,302 p=66622 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:33:21,302 p=66622 u=dgoldgar n=ansible INFO| PLAY [Nginx] *******************************************************************
2026-01-05 08:33:21,303 p=66622 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:33:21,303 p=66622 u=dgoldgar n=ansible INFO| PLAY [Frigate] *****************************************************************
2026-01-05 08:33:21,303 p=66622 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:33:21,304 p=66622 u=dgoldgar n=ansible INFO| PLAY [Applications Host] *******************************************************
2026-01-05 08:33:21,304 p=66622 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:33:21,304 p=66622 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-05 08:33:21,304 p=66622 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-05 08:33:23,787 p=66743 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:33:23,811 p=66743 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:33:24,505 p=66743 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:33:24,507 p=66743 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-05 08:33:24,518 p=66743 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-05 08:33:24,522 p=66743 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-05 08:33:24,918 p=66743 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-05 08:33:24,922 p=66743 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-05 08:33:24,926 p=66743 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-05 08:33:25,513 p=66743 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:33:25,516 p=66743 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-05 08:33:26,042 p=66743 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:33:26,046 p=66743 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-05 08:33:26,046 p=66743 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:33:26,046 p=66743 u=dgoldgar n=ansible INFO| PLAY [Homeassistant] ***********************************************************
2026-01-05 08:33:26,047 p=66743 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:33:26,047 p=66743 u=dgoldgar n=ansible INFO| PLAY [Nginx] *******************************************************************
2026-01-05 08:33:26,048 p=66743 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:33:26,048 p=66743 u=dgoldgar n=ansible INFO| PLAY [Frigate] *****************************************************************
2026-01-05 08:33:26,049 p=66743 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:33:26,049 p=66743 u=dgoldgar n=ansible INFO| PLAY [Applications Host] *******************************************************
2026-01-05 08:33:26,050 p=66743 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:33:26,050 p=66743 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-05 08:33:26,051 p=66743 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-05 08:33:28,613 p=66852 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:33:28,639 p=66852 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:34:18,192 p=67085 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:34:18,214 p=67085 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:34:18,926 p=67085 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:34:18,929 p=67085 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-05 08:34:18,940 p=67085 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-05 08:34:18,943 p=67085 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-05 08:34:19,325 p=67085 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-05 08:34:19,330 p=67085 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-05 08:34:19,334 p=67085 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-05 08:34:19,888 p=67085 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:34:19,891 p=67085 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-05 08:34:20,412 p=67085 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:34:20,416 p=67085 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-05 08:34:20,416 p=67085 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:34:20,417 p=67085 u=dgoldgar n=ansible INFO| PLAY [Homeassistant] ***********************************************************
2026-01-05 08:34:20,417 p=67085 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:34:20,418 p=67085 u=dgoldgar n=ansible INFO| PLAY [Nginx] *******************************************************************
2026-01-05 08:34:20,418 p=67085 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:34:20,419 p=67085 u=dgoldgar n=ansible INFO| PLAY [Frigate] *****************************************************************
2026-01-05 08:34:20,419 p=67085 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:34:20,420 p=67085 u=dgoldgar n=ansible INFO| PLAY [Applications Host] *******************************************************
2026-01-05 08:34:20,420 p=67085 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:34:20,420 p=67085 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-05 08:34:20,420 p=67085 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-05 08:34:22,965 p=67202 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:34:22,990 p=67202 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:34:25,758 p=67202 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:34:25,762 p=67202 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-05 08:34:25,775 p=67202 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-05 08:34:25,778 p=67202 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-05 08:34:26,177 p=67202 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-05 08:34:26,181 p=67202 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-05 08:34:26,185 p=67202 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-05 08:34:26,762 p=67202 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:34:26,765 p=67202 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-05 08:34:27,266 p=67202 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:34:27,269 p=67202 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-05 08:34:27,269 p=67202 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:34:27,270 p=67202 u=dgoldgar n=ansible INFO| PLAY [Homeassistant] ***********************************************************
2026-01-05 08:34:27,270 p=67202 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:34:27,271 p=67202 u=dgoldgar n=ansible INFO| PLAY [Nginx] *******************************************************************
2026-01-05 08:34:27,271 p=67202 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:34:27,271 p=67202 u=dgoldgar n=ansible INFO| PLAY [Frigate] *****************************************************************
2026-01-05 08:34:27,272 p=67202 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:34:27,272 p=67202 u=dgoldgar n=ansible INFO| PLAY [Applications Host] *******************************************************
2026-01-05 08:34:27,272 p=67202 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:34:27,273 p=67202 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-05 08:34:27,273 p=67202 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-05 08:35:12,583 p=67508 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:35:12,607 p=67508 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:35:15,460 p=67508 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:35:15,463 p=67508 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-05 08:35:15,476 p=67508 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-05 08:35:15,479 p=67508 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-05 08:35:15,840 p=67508 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-05 08:35:15,844 p=67508 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-05 08:35:15,848 p=67508 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-05 08:35:16,437 p=67508 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:35:16,439 p=67508 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-05 08:35:16,967 p=67508 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:35:16,971 p=67508 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-05 08:35:16,971 p=67508 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:35:16,972 p=67508 u=dgoldgar n=ansible INFO| PLAY [Homeassistant] ***********************************************************
2026-01-05 08:35:16,972 p=67508 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:35:16,972 p=67508 u=dgoldgar n=ansible INFO| PLAY [Nginx] *******************************************************************
2026-01-05 08:35:16,973 p=67508 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:35:16,973 p=67508 u=dgoldgar n=ansible INFO| PLAY [Frigate] *****************************************************************
2026-01-05 08:35:16,973 p=67508 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:35:16,974 p=67508 u=dgoldgar n=ansible INFO| PLAY [Applications Host] *******************************************************
2026-01-05 08:35:16,974 p=67508 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:35:16,974 p=67508 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-05 08:35:16,974 p=67508 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-05 08:35:19,545 p=67627 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:35:19,569 p=67627 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:35:20,260 p=67627 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:35:20,263 p=67627 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-05 08:35:20,273 p=67627 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-05 08:35:20,275 p=67627 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-05 08:35:20,665 p=67627 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-05 08:35:20,669 p=67627 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-05 08:35:20,673 p=67627 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-05 08:35:21,272 p=67627 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:35:21,274 p=67627 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-05 08:35:21,796 p=67627 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:35:21,801 p=67627 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-05 08:35:21,801 p=67627 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:35:21,801 p=67627 u=dgoldgar n=ansible INFO| PLAY [Homeassistant] ***********************************************************
2026-01-05 08:35:21,802 p=67627 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:35:21,802 p=67627 u=dgoldgar n=ansible INFO| PLAY [Nginx] *******************************************************************
2026-01-05 08:35:21,803 p=67627 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:35:21,803 p=67627 u=dgoldgar n=ansible INFO| PLAY [Frigate] *****************************************************************
2026-01-05 08:35:21,804 p=67627 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:35:21,804 p=67627 u=dgoldgar n=ansible INFO| PLAY [Applications Host] *******************************************************
2026-01-05 08:35:21,805 p=67627 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:35:21,805 p=67627 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-05 08:35:21,805 p=67627 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-05 08:36:06,320 p=67927 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:36:06,345 p=67927 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:36:07,018 p=67927 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:36:07,021 p=67927 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-05 08:36:07,031 p=67927 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-05 08:36:07,034 p=67927 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-05 08:36:07,414 p=67927 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
